Date,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,20Y
6/30/2016,1.635,1.7567,1.5949,2.1671,2.3877,3.066,3.3067,2.8997,2.9197,4.2183,4.2415
6/29/2016,1.6483,1.8614,1.8084,1.7485,2.3424,3.2267,3.4137,2.764,2.9145,4.3517,4.2647
6/28/2016,1.645,1.7517,1.5458,1.8227,2.3811,3.073,3.2467,2.8036,2.885,4.0753,4.2114
6/27/2016,1.635,1.7567,1.5431,1.7263,2.4721,3.3033,3.686,2.9105,3.0314,4.435,4.3391
6/24/2016,1.6417,1.8448,1.8236,1.783,3.1567,3.3133,3.6983,2.9549,3.5137,4.4417,4.1915
6/23/2016,1.6533,1.7703,1.6799,1.8463,2.3886,3.3083,3.541,2.9657,3.1742,4.0833,4.1936
6/22/2016,1.6469,1.765,1.5962,1.8736,2.403,3.3267,3.6967,3.3853,3.158,4.437,4.4159
6/21/2016,2,1.745,1.6849,1.8791,2.4099,3.3167,3.5757,2.9502,3.455,4.2583,4.3718
6/20/2016,1.6453,1.768,1.8459,1.8796,2.3974,3.275,3.6617,2.9518,3.1595,4.4183,4.4769
6/17/2016,1.6403,1.729,1.6903,1.8779,2.4355,3.2937,3.425,3.1887,3.1475,4.4277,4.4069
6/16/2016,1.6037,1.5756,1.578,1.8752,2.4042,3.305,3.6233,2.9135,3.1346,4.4367,4.334
6/15/2016,1.6433,1.583,1.5829,1.8773,2.4028,3.3183,3.5643,2.9389,3.1562,4.4287,5.0283
6/14/2016,1.645,1.5797,1.5934,1.8755,2.9833,3.3177,3.685,2.9557,3.1655,4.4417,4.93
6/13/2016,1.725,1.5787,1.785,1.8755,2.4498,3.185,3.47,2.901,3.13,4.429,5.0767
6/10/2016,1.6483,1.5842,1.5671,1.8731,2.4,3.0653,3.47,2.9183,3.1265,4.217,4.8
6/9/2016,1.65,1.5823,1.5993,1.8796,2.975,3.2867,3.47,2.9008,3.132,4.41,4.8
6/8/2016,1.64,1.8416,1.6,1.9204,3,3.4317,3.47,2.9496,3.2292,4.435,4.87
6/7/2016,1.655,1.7476,1.8717,1.9955,2.8757,3.3217,3.554,2.9904,3.2878,4.1163,4.4208
6/6/2016,1.6563,1.8729,2.4517,1.9621,2.945,3.4267,3.46,2.9804,3.2746,4.5487,4.4845
6/3/2016,1.6516,1.8968,2.485,1.9851,3.2983,3.4617,3.6983,3.0215,3.3023,4.6867,4.4199
6/2/2016,1.6483,1.7594,2.495,1.998,2.4001,3.452,3.6333,3.0256,3.3127,4.3687,4.4469
6/1/2016,1.6467,1.7225,2.4787,2.0893,3.0383,3.4417,3.548,3.0317,3.3646,4.4317,4.4494
5/31/2016,1.6467,1.7547,2.4383,2.517,2.4644,3.3342,3.4463,3.0359,3.3309,4.4733,5.0533
5/30/2016,1.6467,1.7606,2.455,2.487,2.3667,3.315,3.556,3.0438,3.3167,4.4528,4.925
5/27/2016,1.6467,1.7641,2.4875,2.0314,2.3928,3.5247,3.5517,3.0318,3.312,4.2133,4.3557
5/26/2016,1.3777,2.0632,2.4877,2.1239,2.9367,3.3333,3.5377,3.0798,3.3149,4.2317,4.3727
5/25/2016,1.5465,2.0117,2.5227,2.515,2.4238,3.5437,3.675,3.153,3.3762,4.46,4.4225
5/24/2016,1.7683,2.0017,2.5127,2.5017,2.401,3.455,3.6267,3.1817,3.3969,4.5583,4.4229
5/23/2016,1.9017,2.1417,2.5067,2.4891,2.5132,3.548,3.6953,3.2114,3.4226,4.4733,4.4161
5/20/2016,1.905,1.905,2.505,2.0982,2.8766,3.695,2.7267,3.2199,3.4275,4.69,4.4175
